0,0,0,0,0.82,0.68,0,0,0,0,0,0,0,0,0
0,0,0,0,0.47,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.144,0.232,0,0,0
0.82,0.47,0,0,0,0.44,0,0.43,0,0,0,0,0,0,0
0.68,0,0,0,0.44,0,0.87,0,0,0,0,0,0,0,0
0,0,0,0,0,0.87,0,0.83,0.84,0,0,0,0.342,0,0.342
0,0,0,0,0.4,0,0.83,0,0.45,0,0.415,0,0,0,0
0,0,0,0,0,0,0.84,0.45,0,0.26,0,0,0,0,0
0,0,0,0,0,0,0,0,0.26,0,0.385,0.57,0.48,0.453,0.247
0,0,0.88,0.144,0,0,0,0.415,0,0.385,0,0.69,0,0,0
0,0,0,0.232,0,0,0,0,0,0.57,0.69,0,0.54,0,0
0,0,0,0,0,0,0,0,0,0.48,0,0.54,0,0,0.286
0,0,0,0,0,0,0,0,0,0.453,0,0,0,0,0
0,0,0,0,0,0,0.342,0,0,0.247,0,0,0.286,0,0
